FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,VEHICLE_TYPE,Tipo veicolo,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,001001,Agliè,VEHICFLEET,Parco veicolare,99,Totale,2021,2641,,
A,Annuale,001001,Agliè,VEHICFLEET,Parco veicolare,99,Totale,2022,2652,,
A,Annuale,001001,Agliè,VEHICFLEET,Parco veicolare,99,Totale,2023,2733,,
A,Annuale,001001,Agliè,VEHICFLEET,Parco veicolare,99,Totale,2024,2741,,
A,Annuale,001002,Airasca,VEHICFLEET,Parco veicolare,99,Totale,2021,3052,,
A,Annuale,001002,Airasca,VEHICFLEET,Parco veicolare,99,Totale,2022,3084,,
A,Annuale,001002,Airasca,VEHICFLEET,Parco veicolare,99,Totale,2023,3144,,
A,Annuale,001002,Airasca,VEHICFLEET,Parco veicolare,99,Totale,2024,3218,,
A,Annuale,001003,Ala di Stura,VEHICFLEET,Parco veicolare,99,Totale,2021,463,,
A,Annuale,001003,Ala di Stura,VEHICFLEET,Parco veicolare,99,Totale,2022,480,,
A,Annuale,001003,Ala di Stura,VEHICFLEET,Parco veicolare,99,Totale,2023,500,,
A,Annuale,001003,Ala di Stura,VEHICFLEET,Parco veicolare,99,Totale,2024,501,,
A,Annuale,001004,'Albiano d"'Ivrea',VEHICFLEET,Parco veicolare,99,Totale,2021,1720,,
A,Annuale,001004,'Albiano d"'Ivrea',VEHICFLEET,Parco veicolare,99,Totale,2022,1710,,
A,Annuale,001004,'Albiano d"'Ivrea',VEHICFLEET,Parco veicolare,99,Totale,2023,1741,,
A,Annuale,001004,'Albiano d"'Ivrea',VEHICFLEET,Parco veicolare,99,Totale,2024,1802,,
A,Annuale,001006,Almese,VEHICFLEET,Parco veicolare,99,Totale,2021,6300,,
A,Annuale,001006,Almese,VEHICFLEET,Parco veicolare,99,Totale,2022,6293,,
A,Annuale,001006,Almese,VEHICFLEET,Parco veicolare,99,Totale,2023,6332,,
A,Annuale,001006,Almese,VEHICFLEET,Parco veicolare,99,Totale,2024,6368,,
